"","player_id","average_rank","weight_kg","height_cm","average_tourneys_played","average_age","backhand","handedness"
"121","d875",10.8095238095238,80,191,23.6666666666667,25.5952380952381,"One-Handed Backhand","Right-Handed"
"122","d908",1475.09523809524,79,183,3.4047619047619,24.2619047619048,"One-Handed Backhand","Right-Handed"
"123","d917",298.857142857143,79,185,20.452380952381,26.2380952380952,"One-Handed Backhand","Right-Handed"
"124","d923",69.8095238095238,70,175,25.952380952381,24.5952380952381,"Two-Handed Backhand","Right-Handed"
"125","d981",136.52380952381,73,183,25.7142857142857,24.7619047619048,"Two-Handed Backhand","Right-Handed"
"126","d994",166.547619047619,82,183,12.7142857142857,24.9285714285714,"Two-Handed Backhand","Right-Handed"
"127","da13",389.666666666667,70,180,21.9285714285714,24.5238095238095,"One-Handed Backhand","Right-Handed"
"128","da23",1195.88095238095,75,178,12.9047619047619,26.7857142857143,"Two-Handed Backhand","Right-Handed"
"129","da44",1774.83333333333,78,180,2.11111111111111,24,"Two-Handed Backhand","Right-Handed"
"130","da67",269.309523809524,74,185,20.5952380952381,21.8095238095238,"Two-Handed Backhand","Right-Handed"
"131","da81",106.904761904762,76,191,23.8333333333333,23.9285714285714,"Two-Handed Backhand","Right-Handed"
"132","da86",212.666666666667,86,191,24.1666666666667,23.6904761904762,"Two-Handed Backhand","Right-Handed"
"133","da89",521.833333333333,86,196,21.5714285714286,23.6666666666667,"Two-Handed Backhand","Right-Handed"
"134","db59",302.880952380952,80,183,20.5714285714286,23.2857142857143,"Two-Handed Backhand","Right-Handed"
"135","db63",133.595238095238,80,185,29.1190476190476,21.547619047619,"Two-Handed Backhand","Right-Handed"
"136","dc58",71.5476190476191,75,188,25.1428571428571,20.1428571428571,"Two-Handed Backhand","Right-Handed"
"137","dd50",1524.09756097561,85,185,12.8292682926829,25,"Two-Handed Backhand","Right-Handed"
"138","df92",461.095238095238,77,185,23.5714285714286,19.547619047619,"Two-Handed Backhand","Left-Handed"
"139","dh58",227.571428571429,69,180,20.1904761904762,17.8571428571429,"Two-Handed Backhand","Right-Handed"
"140","e121",1754.5625,86,193,1.90625,45.3125,"Two-Handed Backhand","Right-Handed"
"141","e224",91.9047619047619,77,170,24.6904761904762,36.3571428571429,"One-Handed Backhand","Right-Handed"
"142","e655",647.238095238095,82,185,5.66666666666667,28.5952380952381,"Two-Handed Backhand","Right-Handed"
"143","e678",312.190476190476,79,180,23.3571428571429,26.5714285714286,"Two-Handed Backhand","Left-Handed"
"144","e687",73.6190476190476,75,175,18,26.5714285714286,"One-Handed Backhand","Right-Handed"
"145","e688",402.714285714286,80,188,21.6904761904762,27,"Two-Handed Backhand","Right-Handed"
"146","e690",280.619047619048,80,188,12.6428571428571,29,"Two-Handed Backhand","Right-Handed"
"147","e698",116.119047619048,76,183,28.9285714285714,26,"Two-Handed Backhand","Right-Handed"
"148","e708",864.285714285714,82,191,13.1904761904762,27.5952380952381,"Two-Handed Backhand","Left-Handed"
"149","e831",47.6666666666667,83,188,24.2857142857143,21.9761904761905,"Two-Handed Backhand","Right-Handed"
"150","e857",972.466666666667,85,193,7.53333333333333,22,"Two-Handed Backhand","Right-Handed"
"151","e865",498.02380952381,82,201,6.21428571428571,20.6428571428571,"One-Handed Backhand","Right-Handed"
"152","e873",94.8809523809524,82,185,23.9047619047619,20.452380952381,"Two-Handed Backhand","Right-Handed"
"153","f324",5.26190476190476,85,185,14.8809523809524,35.3333333333333,"One-Handed Backhand","Right-Handed"
"154","f401",31.2142857142857,73,175,22.8571428571429,34.7619047619048,"Two-Handed Backhand","Right-Handed"
"155","f444",317.52380952381,77,185,15.5238095238095,33.0238095238095,"Two-Handed Backhand","Left-Handed"
"156","f510",31.7857142857143,74,178,24.3571428571429,29.5714285714286,"Two-Handed Backhand","Right-Handed"
"157","f586",108.785714285714,69,173,24.0952380952381,27.5714285714286,"Two-Handed Backhand","Right-Handed"
"158","f723",1733.83333333333,75,183,7.40476190476191,31.7142857142857,"One-Handed Backhand","Right-Handed"
"159","f724",128.190476190476,82,188,23.4285714285714,24.8809523809524,"Two-Handed Backhand","Right-Handed"
"160","f733",1247.48780487805,79,185,3.31707317073171,24.1219512195122,"Two-Handed Backhand","Right-Handed"
"161","f811",122.642857142857,79,183,24.7619047619048,23.4047619047619,"Two-Handed Backhand","Right-Handed"
"162","f858",1302.92857142857,83,193,17.5,24.2619047619048,"Two-Handed Backhand","Right-Handed"
"163","fb98",115.214285714286,84,193,24.3571428571429,19.0952380952381,"Two-Handed Backhand","Right-Handed"
"164","g476",109.666666666667,80,185,29.6904761904762,33.5476190476191,"One-Handed Backhand","Right-Handed"
"165","g585",197.952380952381,75,175,19.2380952380952,33.4047619047619,"Two-Handed Backhand","Right-Handed"
"166","g628",25.7857142857143,75,185,20.6428571428571,30.5238095238095,"One-Handed Backhand","Right-Handed"
"167","g676",300.5,80,183,16.8333333333333,31.3571428571429,"Two-Handed Backhand","Right-Handed"
"168","g681",186.095238095238,83,188,24.547619047619,31.5714285714286,"Two-Handed Backhand","Right-Handed"
"169","g710",93.4523809523809,77,191,25.8571428571429,30.7142857142857,"Two-Handed Backhand","Right-Handed"
"170","g725",121.97619047619,75,188,23.3095238095238,29,"Two-Handed Backhand","Right-Handed"
"171","g806",457.309523809524,79,183,12.6904761904762,29.4047619047619,"One-Handed Backhand","Right-Handed"
"172","g820",530.547619047619,80,180,19.9047619047619,22.6190476190476,"Two-Handed Backhand","Right-Handed"
"173","g858",246.714285714286,88,193,9.71428571428571,28.2619047619048,"Two-Handed Backhand","Right-Handed"
"174","g892",383.190476190476,83,191,15.8333333333333,27.8809523809524,"Two-Handed Backhand","Right-Handed"
"175","g940",193.095238095238,100,193,21.7380952380952,29.1190476190476,"One-Handed Backhand","Right-Handed"
"176","g967",120.142857142857,83,188,19.7857142857143,27.4285714285714,"Two-Handed Backhand","Right-Handed"
"177","g983",117.333333333333,82,185,21.5,26.547619047619,"Two-Handed Backhand","Left-Handed"
"178","g985",500.714285714286,85,191,21.5238095238095,26.6666666666667,"Two-Handed Backhand","Right-Handed"
"179","ga48",455.071428571429,80,185,27.1428571428571,26.2619047619048,"Two-Handed Backhand","Right-Handed"
"180","ga71",256.142857142857,76,183,24.9285714285714,25.3333333333333,"Two-Handed Backhand","Right-Handed"
"181","ga79",208.357142857143,80,183,31.6428571428571,25.2619047619048,"Two-Handed Backhand","Right-Handed"
"182","ga94",267.190476190476,80,188,19.5238095238095,27.047619047619,"Two-Handed Backhand","Left-Handed"
"183","gb42",401.52380952381,83,188,17.9285714285714,25.3333333333333,"Two-Handed Backhand","Right-Handed"
"184","gb53",209.190476190476,84,180,24.0238095238095,24.8095238095238,"One-Handed Backhand","Right-Handed"
"185","gb61",414.095238095238,88,193,12.7857142857143,26.2142857142857,"Two-Handed Backhand","Right-Handed"
"186","gb71",358.404761904762,76,183,31.2857142857143,25.5238095238095,"One-Handed Backhand","Right-Handed"
"187","gb76",1511.19047619048,78,188,5.52380952380952,30.4285714285714,"Two-Handed Backhand","Right-Handed"
"188","gb88",11.5,68,180,24.9047619047619,26,"Two-Handed Backhand","Right-Handed"
"189","gb93",103.97619047619,85,196,28.6904761904762,26.3333333333333,"Two-Handed Backhand","Right-Handed"
"190","gb94",540,77,180,25.6190476190476,24.952380952381,"Two-Handed Backhand","Right-Handed"
"191","gc38",736.545454545455,84,188,4.18181818181818,23.7272727272727,"Two-Handed Backhand","Right-Handed"
"192","gc54",609.738095238095,80,188,14.7857142857143,25.952380952381,"Two-Handed Backhand","Right-Handed"
"193","gc87",714.142857142857,72,178,20.6666666666667,21.3333333333333,"Two-Handed Backhand","Left-Handed"
"194","gc88",346.309523809524,77,180,17.952380952381,23.4047619047619,"Two-Handed Backhand","Right-Handed"
"195","gc89",213.047619047619,84,183,13.9285714285714,24.047619047619,"Two-Handed Backhand","Right-Handed"
"196","gd08",420.738095238095,85,191,16.4047619047619,23.0238095238095,"Two-Handed Backhand","Right-Handed"
"197","gd64",209.380952380952,85,185,21.3333333333333,20.547619047619,"Two-Handed Backhand","Right-Handed"
"198","gd84",618.190476190476,84,193,17.7857142857143,22.3333333333333,"Two-Handed Backhand","Right-Handed"
"199","gd91",490.02380952381,81,183,19,22.7857142857143,"Two-Handed Backhand","Right-Handed"
"200","ge03",852.857142857143,86,188,3.61904761904762,22.6666666666667,"Two-Handed Backhand","Right-Handed"
"201","ge09",1354.09523809524,75,178,8.64285714285714,24.9761904761905,"Two-Handed Backhand","Left-Handed"
"202","ge28",354.738095238095,83,193,24.3333333333333,20.0714285714286,"Two-Handed Backhand","Left-Handed"
"203","ge33",338.119047619048,72,191,18.6904761904762,20.5238095238095,"Two-Handed Backhand","Right-Handed"
"204","gj37",293.571428571429,82,188,26.1904761904762,20.4761904761905,"Two-Handed Backhand","Right-Handed"
"205","h355",450.564102564103,84,188,9.02564102564103,38.8205128205128,"One-Handed Backhand","Right-Handed"
"206","h432",636,77,178,1,35,"Two-Handed Backhand","Right-Handed"
"207","h442",935.214285714286,83,188,5.57142857142857,37.4523809523809,"Two-Handed Backhand","Right-Handed"
"208","h528",1028.14285714286,88,198,1,35,"One-Handed Backhand","Right-Handed"
"209","h624",805.571428571429,82,188,5.42857142857143,36,"Two-Handed Backhand","Right-Handed"
"210","h693",629.595238095238,80,180,21.6904761904762,31.6190476190476,"Two-Handed Backhand","Right-Handed"
"211","h756",46.1904761904762,71,191,28.3095238095238,29.7380952380952,"Two-Handed Backhand","Right-Handed"
"212","h804",638,89,191,5.38095238095238,30,"Two-Handed Backhand","Right-Handed"
"213","h808",1630.27272727273,82,188,2.63636363636364,27.6969696969697,"Two-Handed Backhand","Right-Handed"
"214","h836",1491.04761904762,83,193,9.09523809523809,28,"Two-Handed Backhand","Right-Handed"
"215","h896",286.857142857143,77,183,22.5238095238095,26.7857142857143,"Two-Handed Backhand","Right-Handed"
"216","h938",1359.06060606061,82,183,13.2121212121212,27,"Two-Handed Backhand","Left-Handed"
"217","h940",49.9523809523809,84,185,24.7857142857143,24.6428571428571,"Two-Handed Backhand","Right-Handed"
"218","h996",77.5238095238095,79,188,20.3095238095238,25.7857142857143,"Two-Handed Backhand","Right-Handed"
"219","h997",206.666666666667,84,193,22.6666666666667,25.047619047619,"Two-Handed Backhand","Right-Handed"
"220","ha33",1199.83333333333,75,188,5.88095238095238,24.3333333333333,"Two-Handed Backhand","Right-Handed"
"221","hb05",340.619047619048,77,180,17.452380952381,22.5714285714286,"Two-Handed Backhand","Right-Handed"
"222","hb29",931.65,82,183,3.3,22.825,"One-Handed Backhand","Right-Handed"
"223","hb35",315.547619047619,75,185,23.1904761904762,21.547619047619,"Two-Handed Backhand","Right-Handed"
"224","hb41",445.809523809524,79,185,24.7142857142857,22.452380952381,"Two-Handed Backhand","Right-Handed"
"225","hb48",235.214285714286,85,188,24.0714285714286,21.9285714285714,"Two-Handed Backhand","Right-Handed"
"226","hb64",136.071428571429,78,191,29.3809523809524,20.0952380952381,"Two-Handed Backhand","Right-Handed"
"227","hb89",1279.8,83,185,5,21.8666666666667,"Two-Handed Backhand","Right-Handed"
"228","hc99",413.880952380952,78,188,29.6904761904762,20,"One-Handed Backhand","Right-Handed"
"229","hh48",782.333333333333,84,183,18.2619047619048,22.6904761904762,"One-Handed Backhand","Right-Handed"
"230","i165",75.8571428571429,88,188,24.5238095238095,30.2619047619048,"Two-Handed Backhand","Right-Handed"
"231","i186",19.7380952380952,108,208,22.2380952380952,31.6666666666667,"Two-Handed Backhand","Right-Handed"
"232","i230",171.690476190476,75,180,24.0714285714286,28.5952380952381,"Two-Handed Backhand","Right-Handed"
"233","i277",1577.02380952381,76,178,4.78571428571429,28.2619047619048,"Two-Handed Backhand","Right-Handed"
"234","i305",198.404761904762,83,196,21.1904761904762,22.8333333333333,"Two-Handed Backhand","Right-Handed"
"235","i306",284.452380952381,79,185,27.2619047619048,21.3095238095238,"Two-Handed Backhand","Right-Handed"
"236","i326",1012.33333333333,70,175,8.42857142857143,21.1428571428571,"Two-Handed Backhand","Right-Handed"
"237","i335",1662.66666666667,75,183,1,23.9444444444444,"Two-Handed Backhand","Right-Handed"
"238","j267",71.0714285714286,82,185,30.452380952381,32.9285714285714,"Two-Handed Backhand","Right-Handed"
"239","j321",917.642857142857,90,185,3.42857142857143,27,"Two-Handed Backhand","Right-Handed"
"240","j380",198.857142857143,69,180,19.9047619047619,27.5238095238095,"Two-Handed Backhand","Right-Handed"
"241","j386",33.8095238095238,86,188,27.1190476190476,27,"Two-Handed Backhand","Right-Handed"
"242","j393",492.785714285714,77,183,11.3333333333333,26,"Two-Handed Backhand","Right-Handed"
"243","j397",163.928571428571,94,203,16.1428571428571,26.047619047619,"Two-Handed Backhand","Right-Handed"
"244","j400",230.333333333333,73,178,27.5,26.7380952380952,"One-Handed Backhand","Right-Handed"
"245","j439",1118.88888888889,96,198,5.11111111111111,26,"Two-Handed Backhand","Right-Handed"
"246","j465",1059.16666666667,85,178,15.9761904761905,23.2380952380952,"Two-Handed Backhand","Right-Handed"
"247","j505",1176.28571428571,82,188,9.66666666666667,23.8571428571429,"Two-Handed Backhand","Right-Handed"
"248","j513",782.047619047619,75,180,11.0952380952381,22.1904761904762,"Two-Handed Backhand","Right-Handed"
"249","j551",185.142857142857,87,198,22.9047619047619,21.1428571428571,"Two-Handed Backhand","Right-Handed"
"250","j553",264.571428571429,60,183,15.0714285714286,19.5952380952381,"Two-Handed Backhand","Left-Handed"
"251","j557",398.190476190476,72,180,23.2142857142857,24.047619047619,"Two-Handed Backhand","Left-Handed"
"252","j620",280,80,193,25.5238095238095,20.1190476190476,"Two-Handed Backhand","Right-Handed"
"253","k0a4",1280.69047619048,64,185,6.85714285714286,17.7857142857143,"Two-Handed Backhand","Right-Handed"
"254","k336",33.6904761904762,104,211,24.452380952381,37.8095238095238,"One-Handed Backhand","Right-Handed"
"255","k435",37.7142857142857,70,178,23.3809523809524,33.1428571428571,"One-Handed Backhand","Right-Handed"
"256","k457",1756.5,77,178,1.9,34,"One-Handed Backhand","Right-Handed"
"257","k540",1006.5,86,191,1.33333333333333,34,"Two-Handed Backhand","Right-Handed"
"258","k737",492.115384615385,78,183,8.38461538461539,29.8461538461538,"Two-Handed Backhand","Right-Handed"
"259","k771",265.619047619048,80,191,27.3333333333333,29.547619047619,"Two-Handed Backhand","Right-Handed"
"260","k776",141.5,80,191,26.3571428571429,31.8333333333333,"Two-Handed Backhand","Right-Handed"
"261","k834",122.166666666667,78,188,24.6190476190476,29.8095238095238,"Two-Handed Backhand","Right-Handed"
"262","k839",165.404761904762,76,178,24.8809523809524,30.5952380952381,"Two-Handed Backhand","Right-Handed"
"263","k905",1485.81818181818,85,191,3,30,"Two-Handed Backhand","Right-Handed"
"264","k906",378.238095238095,78,183,27.4285714285714,27.1428571428571,"Two-Handed Backhand","Left-Handed"
"265","k909",487.309523809524,83,188,18.7142857142857,27.3333333333333,"Two-Handed Backhand","Right-Handed"
"266","k926",91.3571428571429,72,183,22.2619047619048,29,"Two-Handed Backhand","Right-Handed"
"267","k964",249.738095238095,83,188,25.1428571428571,27,"Two-Handed Backhand","Right-Handed"
"268","k966",88.1190476190476,80,191,23.1190476190476,27.4285714285714,"Two-Handed Backhand","Left-Handed"
"269","ka00",284.238095238095,79,188,24.0952380952381,26.5238095238095,"Two-Handed Backhand","Left-Handed"
"270","ka98",527.833333333333,75,183,10.3095238095238,26.3095238095238,"Two-Handed Backhand","Left-Handed"
"271","kb05",168.952380952381,75,185,18.2857142857143,24.8333333333333,"Two-Handed Backhand","Right-Handed"
"272","kb09",163.357142857143,75,180,25.9285714285714,24.3095238095238,"Two-Handed Backhand","Right-Handed"
"273","kb14",576.547619047619,86,191,8.64285714285714,25.8095238095238,"Two-Handed Backhand","Left-Handed"
"274","kb37",303.214285714286,79,185,30.452380952381,24.7619047619048,"Two-Handed Backhand","Left-Handed"
"275","kb54",76.5238095238095,71,185,24.4285714285714,25.8333333333333,"Two-Handed Backhand","Right-Handed"
"276","kb92",352.404761904762,83,191,13.9761904761905,24.9285714285714,"Two-Handed Backhand","Right-Handed"
"277","kb95",1018.85,74,178,6.1,23.625,"Two-Handed Backhand","Right-Handed"
"278","kc04",148.309523809524,82,183,23.6666666666667,24.0714285714286,"Two-Handed Backhand","Right-Handed"
"279","kc12",193.309523809524,82,188,29.7619047619048,22.952380952381,"Two-Handed Backhand","Right-Handed"
"280","kc29",96.7380952380952,75,178,27.8333333333333,24.3095238095238,"One-Handed Backhand","Right-Handed"
"281","kc33",474.809523809524,72,183,20.4047619047619,23.3809523809524,"Two-Handed Backhand","Right-Handed"
"282","kc44",1436.45238095238,80,185,10.2857142857143,24.452380952381,"Two-Handed Backhand","Right-Handed"
"283","kc74",1932.475,64,173,4.525,24.725,"Two-Handed Backhand","Right-Handed"
"284","kc86",143.333333333333,77,188,21.952380952381,24.6666666666667,"Two-Handed Backhand","Right-Handed"
